id,id_localidad,nombre,id_provincia,provincia_nombre
loc_424,424,VIRREY DEL PINO,1,BUENOS AIRES
loc_425,425,BARRIO BATAN,1,BUENOS AIRES
loc_426,426,BARRIO CHAPADMALAL,1,BUENOS AIRES
loc_427,427,BARRIO EMIR RAMON JUAREZ,1,BUENOS AIRES
loc_428,428,BARRIO GASTRONOMICO,1,BUENOS AIRES
loc_429,429,BARRIO PUEBLO NUEVO,1,BUENOS AIRES
loc_430,430,BARRIO TIERRA DE ORO,1,BUENOS AIRES
loc_431,431,BARRIO TIRO FEDERAL,1,BUENOS AIRES
loc_432,432,CAMET,1,BUENOS AIRES
loc_433,433,COLONIA DE VAC CHAPADMALAL,1,BUENOS AIRES
loc_434,434,EL BOQUERON,1,BUENOS AIRES
loc_435,435,EL SOLDADO,1,BUENOS AIRES
loc_436,436,HARAS CHAPADMALAL,1,BUENOS AIRES
loc_437,437,LA PEREGRINA,1,BUENOS AIRES
loc_438,438,LAGUNA DE LOS PADRES,1,BUENOS AIRES
loc_439,439,LAGUNA DEL SOLDADO,1,BUENOS AIRES
loc_440,440,LOS ORTIZ,1,BUENOS AIRES
loc_441,441,MAR DEL PLATA,1,BUENOS AIRES
loc_442,442,PLAYA CHAPADMALAL,1,BUENOS AIRES
loc_443,443,SIERRA DE LOS PADRES,1,BUENOS AIRES
loc_444,444,UNIDAD TURISTICA CHAPADMALAL,1,BUENOS AIRES
loc_445,445,VILLA VIGNOLO,1,BUENOS AIRES
loc_446,446,GERLI,1,BUENOS AIRES
loc_447,447,LANUS,1,BUENOS AIRES
loc_448,448,MONTE CHINGOLO,1,BUENOS AIRES
loc_449,449,REMEDIOS DE ESCALADA,1,BUENOS AIRES
loc_450,450,VALENTIN ALSINA,1,BUENOS AIRES
loc_451,451,ADOLFO GONZALES CHAVES,1,BUENOS AIRES
loc_452,452,ALZAGA,1,BUENOS AIRES
loc_453,453,DE LA GARMA,1,BUENOS AIRES
loc_454,454,EL LUCERO,1,BUENOS AIRES
loc_455,455,JUAN E BARRA,1,BUENOS AIRES
loc_456,456,PEDRO LASALLE,1,BUENOS AIRES
loc_457,457,VASQUEZ,1,BUENOS AIRES
loc_458,458,ALGARROBO,1,BUENOS AIRES
loc_459,459,ARROYO BURGOS,1,BUENOS AIRES
loc_460,460,COLONIA VELEZ,1,BUENOS AIRES
loc_461,461,DOYLE,1,BUENOS AIRES
loc_462,462,EL DESCANSO,1,BUENOS AIRES
loc_463,463,EL ESPINILLO,1,BUENOS AIRES
loc_464,464,GOBERNADOR CASTRO,1,BUENOS AIRES
loc_465,465,INGENIERO MONETA,1,BUENOS AIRES
loc_466,466,KILOMETRO 172,1,BUENOS AIRES
loc_467,467,KILOMETRO 184,1,BUENOS AIRES
loc_468,468,LA BOLSA,1,BUENOS AIRES
loc_469,469,LA BUANA MOZA,1,BUENOS AIRES
loc_470,470,LA MATILDE,1,BUENOS AIRES
loc_471,471,LAS FLORES,1,BUENOS AIRES
loc_472,472,OLIVEIRA CESAR,1,BUENOS AIRES
loc_473,473,PARADA KILOMETRO 158,1,BUENOS AIRES
loc_474,474,RIO TALA,1,BUENOS AIRES
loc_475,475,RUTA 9 KILOMETRO 169 5,1,BUENOS AIRES
loc_476,476,SAN PEDRO,1,BUENOS AIRES
loc_477,477,SANTA LUCIA,1,BUENOS AIRES
loc_478,478,VILLA DEPIETRI,1,BUENOS AIRES
loc_479,479,VILLA IGOLLO,1,BUENOS AIRES
loc_480,480,VILLA LEANDRA,1,BUENOS AIRES
loc_481,481,VILLA SARITA,1,BUENOS AIRES
loc_482,482,VILLA TERESA,1,BUENOS AIRES
loc_483,483,VILLAIGRILLO,1,BUENOS AIRES
loc_484,484,VUELTA DE OBLIGADO,1,BUENOS AIRES
loc_485,485,ACEILAN,1,BUENOS AIRES
loc_486,486,CANTERA AGUIRRE,1,BUENOS AIRES
loc_487,487,CANTERA ALBION,1,BUENOS AIRES
loc_488,488,CANTERA LA AURORA,1,BUENOS AIRES
loc_489,489,CANTERA LA FEDERACION,1,BUENOS AIRES
